Unnamed: 0,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Destination Name,Node Name,Node Tags,Average Rating,city
46.0,Eastern,West Bengal,Kolkata,Kalighat Kali Temple,Temple,1809,1.0,4.4,0.0,Yes,,Religious,Yes,0.5,Morning,,,,,
47.0,Eastern,West Bengal,Kolkata,Eden Gardens,Cricket Ground,1864,3.0,4.1,2500.0,Yes,,Sports,Yes,0.1,All,,,,,
48.0,Eastern,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,1876,2.0,4.3,25.0,Yes,,Wildlife,Yes,0.66,Afternoon,,,,,
49.0,Eastern,West Bengal,Kolkata,Science City Kolkata,Science,1997,3.0,4.4,60.0,Yes,,Educational,Yes,0.88,All,,,,,
50.0,Eastern,West Bengal,Kolkata,Belur Math,Site,1898,1.5,4.7,0.0,Yes,,Religious,Yes,0.47,Morning,,,,,
51.0,Eastern,West Bengal,Kolkata,Marble Palace,Palace,1835,1.0,4.4,0.0,Yes,,Historical,Yes,0.1,Afternoon,,,,,
52.0,Southern,Goa,Goa,Calangute Beach,Beach,Unknown,2.0,4.4,0.0,Yes,,Scenic,Yes,0.26,Evening,,,,,
53.0,Southern,Goa,Goa,Basilica of Bom Jesus,Church,1605,1.0,4.5,0.0,Yes,,Historical,Yes,0.59,Afternoon,,,,,
54.0,Southern,Goa,Goa,Fort Aguada,Fort,1612,1.5,4.2,0.0,Yes,,Historical,Yes,0.95,Morning,,,,,
55.0,Southern,Goa,Goa,Dudhsagar Falls,Waterfall,Unknown,3.0,4.6,500.0,Yes,,Nature,Yes,0.3,Afternoon,,,,,
56.0,Southern,Goa,Goa,Anjuna Beach,Beach,Unknown,2.0,4.4,0.0,Yes,,Scenic,Yes,0.18,Evening,,,,,
57.0,Southern,Goa,Goa,Chapora Fort,Fort,1617,1.0,4.2,0.0,Yes,,Historical,Yes,0.19,Evening,,,,,
58.0,Southern,Goa,Goa,Se Cathedral,Church,1640,1.0,4.5,0.0,Yes,,Historical,Yes,0.05,Afternoon,,,,,
59.0,Southern,Goa,Goa,Baga Beach,Beach,Unknown,2.0,4.5,0.0,Yes,,Scenic,Yes,0.35,Evening,,,,,
60.0,Southern,Goa,Goa,Arambol Beach,Beach,Unknown,2.0,4.6,0.0,Yes,,Scenic,Yes,0.1,Evening,,,,,
61.0,Southern,Goa,Goa,Palolem Beach,Beach,Unknown,2.0,4.6,0.0,Yes,,Scenic,Yes,0.27,Evening,,,,,
62.0,Southern,Goa,Goa,Colva Beach,Beach,Unknown,2.0,4.3,0.0,Yes,,Scenic,Yes,0.1,Evening,,,,,
63.0,Southern,Goa,Goa,Miramar Beach,Beach,Unknown,1.5,4.2,0.0,Yes,,Scenic,Yes,0.3,Evening,,,,,
64.0,Southern,Goa,Goa,Aguada Beach,Beach,Unknown,2.0,4.5,0.0,Yes,,Scenic,Yes,0.01,Evening,,,,,
65.0,Southern,Goa,Goa,Dr. Salim Ali Bird Santuary,Bird Sanctuary,1988,2.0,3.9,10.0,Yes,,Wildlife,Yes,0.03,Afternoon,,,,,
66.0,Western,Gujarat,Ahmedabad,Sabarmati Ashram,Historical,1915,1.5,4.6,0.0,Yes,,Historical,Yes,0.35,Morning,,,,,
67.0,Western,Gujarat,Dwarka,Dwarkadhish Temple,Temple,-400,2.0,4.7,0.0,No,,Religious,No,0.59,Evening,,,,,
68.0,Western,Gujarat,Junagadh,Gir National Park,National Park,1965,3.0,4.5,3500.0,No,,Wildlife,Yes,0.08,Morning,,,,,
69.0,Western,Gujarat,Bhuj,White Desert,Site,1950,2.5,4.6,0.0,Yes,,Nature,Yes,0.12,Evening,,,,,
70.0,Western,Gujarat,Vadodara,Laxmi Vilas Palace,Palace,1890,2.0,4.4,200.0,Yes,Monday,Historical,Yes,0.17,Afternoon,,,,,
,,tamil nadu,Kumbakonam,Maha Maham Tank,"natural feature, religious place, tourist attraction, festival",,,4.6,,,,,,,,,,,,
,,tamil nadu,Kumbakonam,Maha Maham Tank,"natural feature, religious place, tourist attraction, festival",,,4.6,,,,,,,,,,,,
,,tamil nadu,Kumbakonam,Sarangapani Temple,"hindu temple, tourist attraction, place of worship",,,4.7,,,,,,,,,,,,
,,tamil nadu,Palani,Kannadi Perumal Temple,"hindu temple, tourist attraction, place of worship",,,4.1,,,,,,,,,,,,
,,tamil nadu,Palani,Arulmigu Dhandayuthapani Swamy Temple,"hindu temple, tourist attraction, place of worship, point of interest, establishment",,,4.7,,,,,,,,,,,,
,,tamil nadu,Palani,Shri Periya Nayaki Amman Temple (Oorambalam),"hindu temple, tourist attraction, place of worship",,,4.7,,,,,,,,,,,,
,,tamil nadu,Palani,Varathamanathi Dam,"dam, reservoir, natural feature, boating, fishing, wildlife",,,4.3,,,,,,,,,,,,
,,tamil nadu,Palani,Idumban Temple,"hindu temple, tourist attraction, place of worship, point of interest",,,4.4,,,,,,,,,,,,
,,tamil nadu,Palani,Lord Murugan Temple - Thiru Aavinnankudi,"hindu temple, place of worship, tourist attraction",,,4.7,,,,,,,,,,,,
,,tamil nadu,Palani,Shri Periya Nayaki Amman Temple (Oorambalam),"hindu temple, tourist attraction, place of worship",,,4.7,,,,,,,,,,,,
,,tamil nadu,cheyyar,Nava Narasimhar Temple,"hindu temple, tourist attraction, place of worship",,,4.7,,,,,,,,,,,,
,,tamil nadu,cheyyar,Nava Narasimhar Temple,"hindu temple, tourist attraction, place of worship",,,4.7,,,,,,,,,,,,
,,tamil nadu,vellore,"Vellore Fort, Tamil Nadu","fortress, historical place, tourist attraction, landmark, architecture",,,4.3,,,,,,,,,,,,
,,tamil nadu,vellore,Palamathi Hills,"nature, scenic, outdoor activities, wildlife, tourist spot",,,4.5,,,,,,,,,,,,
,,tamil nadu,vellore,Sri Lakshmi Narayani Golden Temple,"hindu temple, tourist attraction, place of worship, point of interest",,,4.4,,,,,,,,,,,,
,,tamil nadu,cheyyar,Nava Narasimhar Temple,"hindu temple, tourist attraction, place of worship",,,4.7,,,,,,,,,,,,
,,tamil nadu,cheyyar,Nava Narasimhar Temple,"hindu temple, tourist attraction, place of worship",,,4.7,,,,,,,,,,,,
,,tamil nadu,chennai,Marina Beach,"beach, tourist attraction, scenic spot, shopping, food",,,4.3,,,,,,,,,,,,
,,tamil nadu,chennai,Marina Beach,"beach, tourist attraction, scenic spot, shopping, food",,,4.3,,,,,,,,,,,,
ical place," landmark""",,,4.7,,,,,,,,,,,,,,,,
,,tamil nadu,chennai,Fort St.George Museum,"museum, tourist attraction, point of interest",,,4.2,,,,,,,,,,,,
,,tamil nadu,palani,Idumban Temple,"hindu temple, tourist attraction, place of worship, point of interest",,,4.4,,,,,,,,,,,,
,,tamil nadu,palani,Varathamanathi Dam,"dam, reservoir, natural feature, boating, fishing, wildlife",,,4.3,,,,,,,,,,,,
il nadu,palani,Arulmigu Dhandayuthapani Swamy Temple,"hindu temple, tourist attraction, place of worship, point of interest, establishment",,,4.7,,,,,,,,,,,,,,
,,tamil nadu,palani,Shri Periya Nayaki Amman Temple (Oorambalam),"hindu temple, tourist attraction, place of worship",,,4.7,,,,,,,,,,,,
,,tamil nadu,palani,Kannadi Perumal Temple,"hindu temple, tourist attraction, place of worship",,,4.1,,,,,,,,,,,,
,,tamil nadu,chennai,Marina Beach,"beach, tourist attraction, scenic spot, shopping, food",,,4.3,,,,,,,,,,,,
,,tamil nadu,chennai,Santhome Cathedral Basilica,"tourist attraction, church, place of worship, museum, historical place, landmark",,,4.7,,,,,,,,,,,,
,,tamil nadu,kanchipuram,Varadharaja Perumal Temple,"hindu temple, tourist attraction, place of worship",,,4.6,,,,,,,,,,,,
,,tamil nadu,kanchipuram,Varadharaja Perumal Temple,"hindu temple, tourist attraction, place of worship",,,4.6,,,,,,,,,,,,
,,tamil nadu,kanchipuram,Sri Kanchi Kamakshi Amman Temple,"hindu temple, place of worship, point of interest",,,4.7,,,,,,,,,,,,
"nt""",,,4.7,,,,,,,,,,,,,,,,,
,,tamil nadu,kanchipuram,Varadharaja Perumal Temple,"hindu temple, tourist attraction, place of worship",,,4.6,,,,,,,,,,,,
,,tamil nadu,ooty,Ooty Lake,"natural feature, boating, birdwatching, tourist attraction",,,4.3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,tamil nadu,ooty,Doddabetta Peak,"natural feature, observatory, trekking, tourist attraction",,,4.3,,,,,,,,,,,,
,,tamil nadu,ooty,Government Rose Garden,"tourist attraction, park, point of interest, establishment, garden",,,4.1,,,,,,,,,,,,
,,tamil nadu,vellore,Palamathi Hills,"nature, scenic, outdoor activities, wildlife, tourist spot",,,4.5,,,,,,,,,,,,
,,tamil nadu,palani,Kannadi Perumal Temple,"hindu temple, tourist attraction, place of worship",,,4.1,,,,,,,,,,,,
,,tamil nadu,palani,Kannadi Perumal Temple,"hindu temple, tourist attraction, place of worship",,,4.1,,,,,,,,,,,,
,,tamil nadu,palani,Arulmigu Dhandayuthapani Swamy Temple,"hindu temple, tourist attraction, place of worship, point of interest, establishment",,,4.7,,,,,,,,,,,,
,,tamil nadu,palani,Idumban Temple,"hindu temple, tourist attraction, place of worship, point of interest",,,4.4,,,,,,,,,,,,
,,tamil nadu,palani,Shri Periya Nayaki Amman Temple (Oorambalam),"hindu temple, tourist attraction, place of worship",,,4.7,,,,,,,,,,,,
,,tamil nadu,thiruvannamalai,Annamalaiyar temple thiruvannamalai,"hindu temple, place of worship, point of interest",,,4.8,,,,,,,,,,,,
,,tamil nadu,thiruvannamalai,Skandasramam,"cave, spiritual, meditation, hiking, tourist attraction",,,4.8,,,,,,,,,,,,
,,tamil nadu,chennai,Santhome Cathedral Basilica,"tourist attraction, church, place of worship, museum, historical place, landmark",,,4.7,,,,,,,,,,,,
,,tamil nadu,chennai,Marina Beach,"beach, tourist attraction, scenic spot, shopping, food",,,4.3,,,,,,,,,,,,
,,tamil nadu,chennai,Marina Beach,"beach, tourist attraction, scenic spot, shopping, food",,,4.3,,,,,,,,,,,,
,,tamil nadu,vellore,"Jalakandeswarar Temple, Vellore","hindu temple, place of worship, point of interest",,,4.6,,,,,,,,,,,,
,,tamil nadu,vellore,Sri Lakshmi Narayani Golden Temple,"hindu temple, tourist attraction, place of worship, point of interest",,,4.4,,,,,,,,,,,,
